,X,Y
580,580,0.24
581,581,0.19
582,582,0.51
583,583,0.27
584,584,0.26
585,585,0.08
586,586,0.15
587,587,0.25
588,588,0.35
589,589,0.51
590,590,0.12
591,591,0.23
592,592,0.3
593,593,0.46
594,594,0.26
595,595,0.78
596,596,0.04
597,597,0.33
598,598,0.06
599,599,0.05
600,600,-0.33537630737101387
601,601,0.21
602,602,0.2
603,603,0.21
604,604,0.18
605,605,0.64
606,606,0.18
607,607,0.31
608,608,0.26
609,609,0.24
610,610,0.24
611,611,0.26
612,612,0.25
613,613,0.21
614,614,0.54
615,615,0.01
616,616,0.17
617,617,0.33
618,618,0.31
619,619,0.25
620,620,0.18
621,621,0.31
622,622,0.26
623,623,0.05
624,624,0.25
625,625,0.27
626,626,0.18
627,627,0.19
628,628,0.32
629,629,0.45
630,630,0.32
631,631,0.01
632,632,0.34
633,633,0.35
634,634,0.21
635,635,-0.04
636,636,0.28
637,637,0.29
638,638,0.19
639,639,0.03
640,640,0.19
641,641,0.4
642,642,0.41
643,643,-0.11
644,644,0.29
645,645,0.34
646,646,-0.33537630737101387
647,647,0.32
648,648,0.36
649,649,0.26
650,650,0.51
651,651,0.24
652,652,0.47
653,653,0.41
654,654,0.27
655,655,0.41
656,656,0.25
657,657,0.33
658,658,0.38
659,659,0.21
660,660,0.22
661,661,0.44
662,662,0.08
663,663,0.11
664,664,-0.33537630737101387
665,665,0.06
666,666,0.42
667,667,0.18
668,668,-0.21
669,669,-0.16
670,670,0.21
671,671,0.12
672,672,0.02
673,673,0.13
674,674,0.21
675,675,0.22
676,676,0.33
677,677,0.25
678,678,-0.03
679,679,0.44
680,680,0.47
681,681,0.09
682,682,0.14
683,683,0.28
684,684,0.18
685,685,0.3
686,686,-0.05
687,687,0.34
688,688,0.19
689,689,0.13
690,690,0.36
691,691,0.1
692,692,0.15
693,693,0.03
694,694,0.09
695,695,0.09
696,696,0.33
697,697,0.1
698,698,-0.03
699,699,0.08
700,700,0.54
701,701,0.42
702,702,0.47
703,703,-0.03
704,704,0.46
705,705,0.45
706,706,0.71
707,707,0.72
708,708,0.69
709,709,0.2
710,710,0.32
711,711,0.33
712,712,0.57
713,713,0.15
714,714,0.47
715,715,0.33
716,716,0.41
717,717,0.12
718,718,0.18
719,719,0.09
720,720,0.2
721,721,0.4
722,722,0.45
723,723,0.45
724,724,-0.33537630737101387
725,725,0.23
726,726,0.98
727,727,0.66
728,728,0.63
729,729,0.68
730,730,0.43
731,731,0.62
732,732,0.57
733,733,0.66
734,734,0.69
735,735,0.47
736,736,0.21
737,737,0.09
738,738,0.81
739,739,0.64
740,740,0.48
741,741,0.9
742,742,0.47
743,743,0.58
744,744,0.44
745,745,0.54
746,746,0.83
747,747,0.59
748,748,0.65
749,749,0.35
750,750,0.55
751,751,0.57
752,752,0.51
753,753,0.62
754,754,0.86
755,755,0.94
756,756,0.85
757,757,0.83
758,758,0.57
759,759,0.67
760,760,0.24
761,761,0.37
762,762,0.75
763,763,0.51
764,764,0.29
765,765,0.42
766,766,0.32
767,767,0.48
768,768,0.6
769,769,0.66
770,770,0.96
771,771,0.85
772,772,0.65
773,773,0.51
774,774,0.5
775,775,0.71
776,776,0.7
777,777,0.48
778,778,0.71
779,779,0.74
780,780,0.64
781,781,0.51
782,782,0.43
783,783,0.5
784,784,0.52
785,785,0.65
786,786,0.95
787,787,0.24
788,788,0.64
789,789,0.69
790,790,0.48
791,791,0.68
792,792,0.7
793,793,0.83
794,794,1.33
795,795,0.44
796,796,0.63
797,797,0.83
798,798,0.6
799,799,0.93
800,800,0.76
801,801,0.56
802,802,0.7
803,803,-0.33537630737101387
804,804,0.93
805,805,0.71
806,806,0.83
807,807,0.26
808,808,0.55
809,809,0.52
810,810,0.66
811,811,0.55
812,812,0.2
813,813,0.3
814,814,0.54
815,815,0.54
816,816,0.25
817,817,0.48
818,818,0.79
819,819,1.03
820,820,0.83
821,821,1.04
822,822,0.7
823,823,0.71
824,824,0.99
825,825,0.9
826,826,1.0
827,827,1.13
828,828,0.72
829,829,1.09
830,830,0.97
831,831,0.96
832,832,0.82
833,833,1.01
834,834,1.11
835,835,1.23
836,836,0.85
837,837,1.01
838,838,0.94
839,839,1.14
840,840,0.92
841,841,1.33
842,842,1.03
843,843,1.0
844,844,1.15
845,845,1.2
846,846,0.79
847,847,0.8
848,848,1.01
849,849,0.62
