,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
1394,FR320028030229,5,1,0.9090909090909091,84,1,0.9438202247191011
1395,FR320028030231,7,1,0.9090909090909091,82,1,0.9213483146067416
1396,FR320028030232,5,1,0.9090909090909091,84,1,0.9438202247191011
1397,FR320028030233,5,1,0.9090909090909091,84,1,0.9438202247191011
1398,FR320028030234,7,1,0.9090909090909091,82,1,0.9213483146067416
1399,FR320028030235,4,1,0.9090909090909091,85,1,0.9550561797752809
1400,FR320028030236,8,2,0.8181818181818182,81,1,0.9101123595505618
1401,FR320028030238,6,2,0.8181818181818182,83,1,0.9325842696629213
1402,FR320028030239,9,3,0.7272727272727273,80,1,0.898876404494382
1403,FR320028030240,8,2,0.8181818181818182,81,1,0.9101123595505618
1404,FR320028030241,4,1,0.9090909090909091,85,1,0.9550561797752809
1405,FR320028030242,5,1,0.9090909090909091,84,1,0.9438202247191011
1406,FR320028030243,9,2,0.8181818181818182,80,1,0.898876404494382
1407,FR320028030244,4,1,0.9090909090909091,85,1,0.9550561797752809
1408,FR320028030245,6,2,0.8181818181818182,83,1,0.9325842696629213
1409,FR320028030246,6,2,0.8181818181818182,83,1,0.9325842696629213
1410,FR320028030247,6,2,0.8181818181818182,83,1,0.9325842696629213
1411,FR320028030248,6,2,0.8181818181818182,83,1,0.9325842696629213
1412,FR320028030249,6,2,0.8181818181818182,83,1,0.9325842696629213
1413,FR320028030250,8,2,0.8181818181818182,81,1,0.9101123595505618
1414,FR320028030251,11,2,0.8181818181818182,78,1,0.8764044943820225
1415,FR320028030252,5,2,0.8181818181818182,84,1,0.9438202247191011
1416,FR320028030253,6,1,0.9090909090909091,83,1,0.9325842696629213
1417,FR320028030254,6,2,0.8181818181818182,83,1,0.9325842696629213
1418,FR320028030255,8,2,0.8181818181818182,81,1,0.9101123595505618
1419,FR320028030256,14,4,0.8181818181818182,164,2,0.9213483146067416
1420,FR320028030257,6,2,0.8181818181818182,83,1,0.9325842696629213
1421,FR320028030258,6,2,0.8181818181818182,83,1,0.9325842696629213
1422,FR320028030259,6,2,0.8181818181818182,83,1,0.9325842696629213
1423,FR320028030260,8,2,0.8181818181818182,81,1,0.9101123595505618
1424,FR320028030261,8,2,0.8181818181818182,81,1,0.9101123595505618
1425,FR320028030262,8,2,0.8181818181818182,81,1,0.9101123595505618
1426,FR320028030263,8,2,0.8181818181818182,81,1,0.9101123595505618
1427,FR320028030264,8,2,0.8181818181818182,81,1,0.9101123595505618
1428,FR320028030265,8,2,0.8181818181818182,81,1,0.9101123595505618
1429,FR320028030267,8,2,0.8181818181818182,81,1,0.9101123595505618
